policy_id,client_id,product_type,start_date,end_date,agent_id,region,experience_years,age,country,signup_date,annee_signup,total_premium,total_claim,total_claim_accepted,nb_claims,nb_claims_accepted,loss_ratio,profit,is_profitable,duree_contrat_jours,annee_debut,mois_debut
1,137,Santé,2020-02-25,2026-12-03,109,Kenya,4,44,Côte d’Ivoire,2020-04-28,2020,0.0,3282.07,3282.07,1.0,1.0,0.0,-3282.07,False,2473,2020,2
2,1199,Santé,2021-12-20,2021-01-31,168,Nigeria,7,64,Nigeria,2024-01-01,2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,323,2021,12
3,958,Habitation,2025-09-10,2024-09-28,300,Maroc,11,43,Sénégal,2020-02-22,2020,291.53,0.0,0.0,0.0,0.0,0.0,291.53,True,347,2025,9
4,19,Vie,2021-07-27,2024-11-01,218,Sénégal,14,19,Nigeria,2021-11-20,2021,0.0,2182.24,2182.24,1.0,1.0,0.0,-2182.24,False,1193,2021,7
5,195,Auto,2021-10-28,2024-02-28,222,Kenya,14,44,Sénégal,2025-01-04,2025,110.7,0.0,0.0,0.0,0.0,0.0,110.7,True,853,2021,10
6,330,Auto,2020-10-10,2022-09-09,161,Maroc,6,19,Sénégal,2023-05-28,2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,699,2020,10
7,175,Vie,2024-10-10,2022-06-23,16,Côte d’Ivoire,3,24,Maroc,2021-10-23,2021,1174.37,6690.17,2628.16,2.0,1.0,223.79318272776044,-1453.79,False,840,2024,10
8,1002,Auto,2021-05-12,2023-05-21,278,Sénégal,3,68,Côte d’Ivoire,2023-01-29,2023,440.44,0.0,0.0,0.0,0.0,0.0,440.44,True,739,2021,5
9,449,Vie,2024-01-05,2021-04-11,57,Nigeria,2,68,Sénégal,2021-11-18,2021,0.0,2099.35,0.0,1.0,0.0,0.0,0.0,False,999,2024,1
10,946,Santé,2020-05-09,2024-11-13,62,Kenya,9,39,Côte d’Ivoire,2024-04-05,2024,1052.13,3096.04,3096.04,1.0,1.0,294.26401680400704,-2043.9099999999999,False,1649,2020,5
11,141,Vie,2021-09-30,2023-07-30,242,Maroc,10,54,Côte d’Ivoire,2021-10-13,2021,1970.97,0.0,0.0,0.0,0.0,0.0,1970.97,True,668,2021,9
12,758,Auto,2025-12-01,2021-12-07,90,Côte d’Ivoire,5,20,Côte d’Ivoire,2024-05-10,2024,454.79,9063.54,9063.54,2.0,2.0,1992.9066162404627,-8608.75,False,1455,2025,12
13,930,Vie,2025-08-22,2023-11-10,72,Côte d’Ivoire,12,21,Sénégal,2024-08-07,2024,1811.3899999999999,2130.5,2130.5,1.0,1.0,117.61685777220809,-319.1100000000001,False,651,2025,8
14,93,Habitation,2022-09-12,2021-02-07,30,Sénégal,14,64,Sénégal,2025-09-07,2025,1976.51,0.0,0.0,0.0,0.0,0.0,1976.51,True,582,2022,9
15,239,Santé,2022-09-19,2022-10-22,288,Nigeria,12,61,Maroc,2024-11-30,2024,1657.75,826.44,0.0,2.0,0.0,0.0,1657.75,True,33,2022,9
16,205,Santé,2025-10-22,2026-07-27,86,Kenya,4,54,Côte d’Ivoire,2021-03-24,2021,3393.8500000000004,4679.17,4679.17,3.0,3.0,137.8720332365897,-1285.3199999999997,False,278,2025,10
17,560,Vie,2020-04-10,2025-04-10,234,Nigeria,3,52,Côte d’Ivoire,2022-02-25,2022,0.0,2229.83,0.0,1.0,0.0,0.0,0.0,False,1826,2020,4
18,245,Auto,2021-03-02,2025-07-15,235,Côte d’Ivoire,13,28,Sénégal,2022-12-14,2022,1708.45,0.0,0.0,0.0,0.0,0.0,1708.45,True,1596,2021,3
19,832,Habitation,2020-02-10,2023-11-16,265,Kenya,5,22,Kenya,2025-11-21,2025,620.44,3561.24,3561.24,1.0,1.0,573.9862033395653,-2940.7999999999997,False,1375,2020,2
20,925,Santé,2021-03-04,2022-03-30,287,Maroc,10,28,Côte d’Ivoire,2025-10-31,2025,782.8299999999999,3219.71,3219.71,1.0,1.0,411.2910849098783,-2436.88,False,391,2021,3
21,295,Santé,2020-12-09,2025-09-01,269,Sénégal,14,19,Sénégal,2024-05-15,2024,1006.55,4807.16,4807.16,1.0,1.0,477.5877999105857,-3800.6099999999997,False,1727,2020,12
22,640,Auto,2020-12-31,2024-09-08,186,Sénégal,13,58,Kenya,2023-12-18,2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1347,2020,12
23,856,Auto,2021-08-31,2023-03-30,131,Sénégal,9,45,Nigeria,2022-06-01,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,576,2021,8
24,17,Habitation,2021-12-28,2023-02-12,291,Côte d’Ivoire,7,20,Sénégal,2025-05-07,2025,1493.39,9190.47,4112.11,3.0,1.0,275.3540602253932,-2618.7199999999993,False,411,2021,12
25,71,Vie,2022-04-04,2021-01-13,277,Maroc,10,23,Kenya,2021-11-30,2021,1218.02,1184.64,1184.64,1.0,1.0,97.25948670793584,33.37999999999988,True,446,2022,4
26,305,Auto,2023-10-07,2023-07-10,180,Sénégal,2,36,Kenya,2021-06-30,2021,3027.13,0.0,0.0,0.0,0.0,0.0,3027.13,True,89,2023,10
27,1031,Vie,2022-06-07,2023-04-05,290,Maroc,14,25,Maroc,2023-01-28,2023,3534.59,0.0,0.0,0.0,0.0,0.0,3534.59,True,302,2022,6
28,817,Habitation,2025-08-05,2024-08-07,163,Nigeria,10,44,Maroc,2021-01-17,2021,1326.16,0.0,0.0,0.0,0.0,0.0,1326.16,True,363,2025,8
29,1127,Vie,2023-09-03,2026-07-11,271,Côte d’Ivoire,6,32,Kenya,2024-09-19,2024,0.0,3397.04,3397.04,1.0,1.0,0.0,-3397.04,False,1042,2023,9
30,821,Santé,2023-07-20,2024-05-13,96,Côte d’Ivoire,2,51,Kenya,2020-05-18,2020,0.0,2275.26,2275.26,1.0,1.0,0.0,-2275.26,False,298,2023,7
31,193,Vie,2020-04-26,2022-11-28,262,Sénégal,8,50,Nigeria,2020-01-23,2020,0.0,3056.38,3056.38,2.0,2.0,0.0,-3056.38,False,946,2020,4
32,529,Habitation,2023-01-22,2023-08-08,288,Nigeria,12,56,Nigeria,2021-01-27,2021,982.12,6948.73,3309.45,2.0,1.0,336.9700240296501,-2327.33,False,198,2023,1
33,171,Habitation,2020-06-16,2024-12-09,83,Sénégal,1,46,Sénégal,2021-10-24,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1637,2020,6
34,251,Habitation,2024-10-04,2021-03-10,225,Côte d’Ivoire,10,51,Sénégal,2021-02-09,2021,1442.9,992.0,992.0,1.0,1.0,68.75043315545082,450.9000000000001,True,1304,2024,10
35,541,Vie,2023-09-26,2025-11-17,223,Kenya,10,27,Maroc,2025-08-08,2025,0.0,2591.58,2591.58,1.0,1.0,0.0,-2591.58,False,783,2023,9
36,416,Santé,2021-11-25,2026-05-24,118,Sénégal,7,57,Nigeria,2021-03-22,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1641,2021,11
37,794,Auto,2022-07-13,2021-07-31,192,Nigeria,2,23,Maroc,2024-04-21,2024,1270.83,4103.38,4103.38,1.0,1.0,322.8897649567606,-2832.55,False,347,2022,7
38,1168,Santé,2020-05-31,2022-05-23,79,Maroc,4,25,Maroc,2022-06-01,2022,0.0,3295.65,3295.65,1.0,1.0,0.0,-3295.65,False,722,2020,5
39,25,Vie,2021-08-08,2026-08-26,78,Côte d’Ivoire,2,38,Nigeria,2022-09-09,2022,0.0,8733.31,4524.85,4.0,3.0,0.0,-4524.85,False,1844,2021,8
40,668,Vie,2022-07-01,2025-03-02,147,Côte d’Ivoire,11,52,Kenya,2021-07-06,2021,3270.46,4264.8099999999995,3198.08,2.0,1.0,97.7868556716792,72.38000000000011,True,975,2022,7
41,1097,Auto,2024-04-26,2021-11-28,107,Maroc,6,64,Kenya,2021-10-05,2021,0.0,133.85,133.85,1.0,1.0,0.0,-133.85,False,880,2024,4
42,632,Vie,2021-05-10,2022-07-05,271,Côte d’Ivoire,6,65,Kenya,2021-12-30,2021,0.0,778.38,778.38,1.0,1.0,0.0,-778.38,False,421,2021,5
43,1117,Habitation,2025-11-18,2025-06-13,244,Maroc,1,30,Kenya,2023-01-18,2023,1631.43,0.0,0.0,0.0,0.0,0.0,1631.43,True,158,2025,11
44,505,Habitation,2021-07-10,2023-07-31,73,Maroc,1,46,Maroc,2022-12-25,2022,2679.92,0.0,0.0,0.0,0.0,0.0,2679.92,True,751,2021,7
45,336,Habitation,2023-01-10,2022-12-29,26,Côte d’Ivoire,8,21,Nigeria,2022-06-24,2022,1022.16,4137.23,4137.23,1.0,1.0,404.75365891836896,-3115.0699999999997,False,12,2023,1
46,425,Habitation,2024-04-01,2023-05-30,210,Kenya,5,52,Maroc,2024-12-19,2024,1799.5500000000002,1550.11,1550.11,1.0,1.0,86.13875691145006,249.44000000000028,True,307,2024,4
47,499,Habitation,2025-10-21,2022-10-11,92,Kenya,2,62,Nigeria,2022-06-14,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1106,2025,10
48,947,Vie,2020-06-05,2023-09-27,125,Kenya,10,38,Maroc,2022-12-12,2022,0.0,2430.95,21.41,2.0,1.0,0.0,-21.41,False,1209,2020,6
49,630,Auto,2022-01-04,2025-03-02,73,Maroc,1,66,Maroc,2022-02-18,2022,0.0,2458.07,2458.07,1.0,1.0,0.0,-2458.07,False,1153,2022,1
50,718,Auto,2025-12-19,2025-06-01,123,Côte d’Ivoire,3,62,Côte d’Ivoire,2022-02-09,2022,0.0,4546.83,4546.83,2.0,2.0,0.0,-4546.83,False,201,2025,12
51,339,Habitation,2023-11-28,2023-10-07,184,Kenya,6,38,Sénégal,2020-07-23,2020,1297.76,6520.25,6520.25,2.0,2.0,502.42340648502034,-5222.49,False,52,2023,11
52,659,Vie,2021-07-12,2025-03-31,187,Côte d’Ivoire,5,40,Kenya,2020-12-06,2020,1674.37,2585.75,777.52,3.0,2.0,46.43657017266196,896.8499999999999,True,1358,2021,7
53,962,Santé,2025-11-24,2023-03-15,198,Nigeria,3,43,Maroc,2024-02-03,2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,985,2025,11
54,429,Santé,2020-06-03,2021-08-02,78,Côte d’Ivoire,2,30,Sénégal,2022-02-17,2022,1169.94,0.0,0.0,0.0,0.0,0.0,1169.94,True,425,2020,6
55,899,Vie,2022-09-23,2021-06-18,186,Sénégal,13,59,Sénégal,2020-01-19,2020,1559.96,5330.04,5330.04,2.0,2.0,341.677991743378,-3770.08,False,462,2022,9
56,139,Habitation,2021-06-14,2023-09-05,253,Nigeria,5,18,Maroc,2021-01-04,2021,0.0,6290.18,6290.18,2.0,2.0,0.0,-6290.18,False,813,2021,6
57,942,Auto,2025-05-25,2024-08-21,13,Côte d’Ivoire,13,22,Maroc,2022-11-16,2022,3993.09,0.0,0.0,0.0,0.0,0.0,3993.09,True,277,2025,5
58,542,Vie,2021-12-29,2021-05-26,299,Sénégal,8,36,Maroc,2024-03-10,2024,1356.54,3588.61,3588.61,1.0,1.0,264.5414068143955,-2232.07,False,217,2021,12
59,57,Santé,2023-03-23,2025-12-04,76,Maroc,9,45,Nigeria,2024-05-16,2024,1782.06,1479.96,1479.96,1.0,1.0,83.04770883135248,302.0999999999999,True,987,2023,3
60,658,Santé,2020-06-02,2022-05-31,51,Nigeria,6,53,Côte d’Ivoire,2025-01-04,2025,2417.8199999999997,0.0,0.0,0.0,0.0,0.0,2417.8199999999997,True,728,2020,6
61,435,Santé,2020-04-01,2022-03-29,275,Kenya,14,25,Maroc,2021-07-12,2021,1046.49,6270.82,2831.95,2.0,1.0,270.61414824795264,-1785.4599999999998,False,727,2020,4
62,384,Habitation,2024-02-12,2021-03-01,149,Maroc,12,41,Kenya,2022-08-23,2022,1825.27,3408.98,3408.98,1.0,1.0,186.7657935538304,-1583.71,False,1078,2024,2
63,560,Santé,2024-09-12,2022-06-12,219,Maroc,7,52,Côte d’Ivoire,2022-02-25,2022,724.95,6997.98,6997.98,3.0,3.0,965.3051934616179,-6273.03,False,823,2024,9
64,194,Vie,2025-07-09,2023-10-21,122,Maroc,8,18,Côte d’Ivoire,2022-11-19,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,627,2025,7
65,534,Vie,2022-02-25,2025-04-14,211,Kenya,13,40,Maroc,2024-01-06,2024,0.0,4394.96,4394.96,1.0,1.0,0.0,-4394.96,False,1144,2022,2
66,518,Santé,2020-09-29,2024-01-08,280,Côte d’Ivoire,10,66,Nigeria,2021-03-17,2021,0.0,4463.97,4463.97,1.0,1.0,0.0,-4463.97,False,1196,2020,9
67,716,Vie,2025-07-20,2022-03-09,26,Côte d’Ivoire,8,56,Kenya,2021-07-16,2021,0.0,7824.2,7824.2,3.0,3.0,0.0,-7824.2,False,1229,2025,7
68,751,Santé,2020-06-25,2024-03-22,173,Nigeria,4,64,Kenya,2025-08-03,2025,875.72,1753.62,0.0,2.0,0.0,0.0,875.72,True,1366,2020,6
69,185,Santé,2021-10-04,2022-02-05,156,Sénégal,11,61,Kenya,2022-12-03,2022,854.09,7368.3099999999995,7368.3099999999995,2.0,2.0,862.7088480136753,-6514.219999999999,False,124,2021,10
70,292,Auto,2025-03-13,2026-10-06,238,Maroc,6,65,Côte d’Ivoire,2022-04-16,2022,358.18,4450.53,0.0,1.0,0.0,0.0,358.18,True,572,2025,3
71,732,Habitation,2021-07-20,2022-08-28,82,Kenya,7,42,Nigeria,2023-02-24,2023,0.0,4479.099999999999,4479.099999999999,2.0,2.0,0.0,-4479.099999999999,False,404,2021,7
72,116,Habitation,2021-10-27,2025-12-16,273,Maroc,14,52,Côte d’Ivoire,2021-03-11,2021,1726.94,8202.470000000001,8202.470000000001,2.0,2.0,474.9713365837841,-6475.530000000001,False,1511,2021,10
73,825,Auto,2023-08-24,2025-01-03,68,Nigeria,11,38,Nigeria,2024-06-15,2024,0.0,87.83,87.83,1.0,1.0,0.0,-87.83,False,498,2023,8
74,1073,Auto,2024-12-03,2025-11-09,44,Nigeria,10,32,Sénégal,2023-11-02,2023,0.0,6722.03,6295.1900000000005,4.0,3.0,0.0,-6295.1900000000005,False,341,2024,12
75,685,Habitation,2022-12-05,2025-04-03,61,Nigeria,5,59,Sénégal,2025-05-06,2025,0.0,4334.37,4334.37,1.0,1.0,0.0,-4334.37,False,850,2022,12
76,82,Santé,2021-02-11,2024-01-02,123,Côte d’Ivoire,3,48,Nigeria,2022-01-13,2022,727.56,0.0,0.0,0.0,0.0,0.0,727.56,True,1055,2021,2
77,834,Santé,2023-04-27,2023-07-18,196,Côte d’Ivoire,4,20,Maroc,2024-11-19,2024,319.78,0.0,0.0,0.0,0.0,0.0,319.78,True,82,2023,4
78,333,Habitation,2025-01-27,2026-05-06,111,Kenya,13,58,Sénégal,2025-05-28,2025,701.76,3926.66,0.0,1.0,0.0,0.0,701.76,True,464,2025,1
79,557,Santé,2023-02-26,2026-05-28,258,Sénégal,7,41,Kenya,2023-10-30,2023,0.0,7226.25,7226.25,2.0,2.0,0.0,-7226.25,False,1187,2023,2
80,335,Auto,2023-02-15,2026-08-27,89,Côte d’Ivoire,14,50,Sénégal,2021-09-23,2021,144.57,0.0,0.0,0.0,0.0,0.0,144.57,True,1289,2023,2
81,532,Santé,2020-05-23,2025-04-04,198,Nigeria,3,47,Sénégal,2023-02-12,2023,1568.87,0.0,0.0,0.0,0.0,0.0,1568.87,True,1777,2020,5
82,221,Santé,2021-05-01,2021-11-22,282,Sénégal,12,56,Nigeria,2024-11-13,2024,1426.61,2655.99,2655.99,1.0,1.0,186.17491816263728,-1229.3799999999999,False,205,2021,5
